1,brewed coffees from cafes,2,brewed coffees from home,0.27
2,lunches out,10,packed lunches from home,4
3,dinners out with friends,17,cooking parties at home,6
4,fancy lattes,4,brewed coffees,2
5,bottled waters,1.8,reusable bottles of tap water,0.001
6,brandname products,10,generic products,7
7,craft beers,7,domestic beers,5
8,glasses of wine,8,glasses of happy hour wine,5
9,cocktails,11,well drinks,6
10,movies in theaters,12,picnics in the park,5
11,concerts,25,free live music events at bars,0
12,uber/lyft rides,15,muni/bus rides,2.25
