1,1,Flock of Chicks,,20
2,1,Contribute Towards Buying a Goat,,10
3,1,Contribute Towards Buying a Sheep,,10
4,1,Contribute Towards Buying a Pig,,10
5,1,Honeybees,,30
6,1,Contribute Towards Buying Rabbits,,10
7,1,Flock of Ducks,,20
8,1,Flock of Geese,,20
9,2,Chicken Breeding Program,,16
10,2,Care Package for Family Living with HIV/AIDS,,16
11,2,Bushel of Seeds,,19
12,2,Energy-Saving Stoves,,19
13,2,Crafty Gifts,,19
14,2,Jerry Cans in Uganda,,24
15,3,Save a Child from Deadly Hunger,,45
16,4,First Book,,5
17,5,Malaria Treatment for One Child,Artemisinin-based combination therapies,1
